date,adjclose,return
2019-07-11,100.05349731445312,
2019-07-12,100.55000305175781,0.0049624026209122984
2019-07-15,101.04949951171875,0.004967642414728024
2019-07-16,100.49500274658203,-0.0054873776497271765
2019-07-17,99.60150146484375,-0.008891002112726198
2019-07-18,98.8949966430664,-0.007093314974038978
2019-07-19,98.22599792480469,-0.006764737761974726
2019-07-22,99.28150177001953,0.010745666804249376
2019-07-23,99.72450256347656,0.004462067812825987
2019-07-24,100.04049682617188,0.003168672237739978
2019-07-25,98.69100189208984,-0.013489486526910066
2019-07-26,97.15249633789062,-0.015589116785757695
2019-07-29,95.62249755859375,-0.015748424764873037
2019-07-30,94.92649841308594,-0.007278612913047322
2019-07-31,93.33899688720703,-0.01672348135049362
2019-08-01,92.76599884033203,-0.006138892274227259
2019-08-02,91.16200256347656,-0.01729077783786115
2019-08-05,88.25650024414062,-0.03187185710749196
2019-08-06,89.3915023803711,0.01286026675758456
2019-08-07,89.66999816894531,0.0031154615501278737
2019-08-08,91.64450073242188,0.022019656560675394
2019-08-09,90.37899780273438,-0.013808825620453047
2019-08-12,89.24600219726562,-0.0125360496687702
2019-08-13,91.21700286865234,0.022085030397553274
2019-08-14,88.14800262451172,-0.033645045853565536
2019-08-15,88.80599975585938,0.007464685662255555
2019-08-16,89.62850189208984,0.009261785673171152
2019-08-19,90.80599975585938,0.013137538159314621
2019-08-20,90.06900024414062,-0.008116198419710674
2019-08-21,91.177001953125,0.012301698764070057
2019-08-22,90.23300170898438,-0.010353490725939274
2019-08-23,87.48100280761719,-0.030498806969126657
2019-08-26,88.44349670410156,0.011002318967479496
2019-08-27,88.09149932861328,-0.003979912470737479
2019-08-28,88.2125015258789,0.0013735967509673763
2019-08-29,89.31999969482422,0.012554889043934425
2019-08-30,88.81449890136719,-0.005659435682760394
2019-09-03,89.49199676513672,0.007628234940805445
2019-09-04,90.03099822998047,0.006022901313268436
2019-09-05,92.03600311279297,0.022270161635782326
2019-09-06,91.67549896240234,-0.003916990505865581
2019-09-09,91.56749725341797,-0.0011780869502403535
2019-09-10,91.02749633789062,-0.005897299060526495
2019-09-11,91.14949798583984,0.0013402724765312346
2019-09-12,92.17749786376953,0.011278173776551048
2019-09-13,91.96700286865234,-0.0022835833039022146
2019-09-16,90.39199829101562,-0.01712575737502442
2019-09-17,91.12750244140625,0.008136828085409498
2019-09-18,90.87300109863281,-0.0027928049815375555
2019-09-19,91.07499694824219,0.002222836785043869
2019-09-20,89.70800018310547,-0.015009572450642827
2019-09-23,89.26499938964844,-0.004938252915601793
2019-09-24,87.08049774169922,-0.024472096150627953
2019-09-25,88.41649627685547,0.015342109540061655
2019-09-26,86.99199676513672,-0.01611124135996367
2019-09-27,86.27249908447266,-0.008270849128875435
2019-09-30,86.79550170898438,0.006062217161457495
2019-10-01,86.78250122070312,-0.00014978297291068365
2019-10-02,85.6614990234375,-0.01291737598591125
2019-10-03,86.22100067138672,0.0065315416415505645
2019-10-04,86.98249816894531,0.008831925999802426
2019-10-07,86.63300323486328,-0.00401799145160453
2019-10-08,85.27549743652344,-0.01566961490022023
2019-10-09,86.09950256347656,0.009662859223618092
2019-10-10,86.01300048828125,-0.0010046756673366408
2019-10-11,86.59600067138672,0.006778047269550891
2019-10-14,86.82150268554688,0.002604069615361304
2019-10-15,88.36900329589844,0.017823932579885904
2019-10-16,88.87149810791016,0.005686324313618707
2019-10-17,89.3740005493164,0.005654258700535264
2019-10-18,87.87550354003906,-0.016766587598934568
2019-10-21,89.28299713134766,0.01601690499181374
2019-10-22,88.2864990234375,-0.011161118465189634
2019-10-23,88.1084976196289,-0.0020161792094772757
2019-10-24,89.03900146484375,0.010560886524610735
2019-10-25,88.06649780273438,-0.010922221117825037
2019-10-28,88.85399627685547,0.008942089145920873
2019-10-29,88.135498046875,-0.008086279290598686
2019-10-30,88.99949645996094,0.009803069503577566
2019-10-31,88.83300018310547,-0.0018707552680410355
2019-11-01,89.5719985961914,0.008318962677863917
2019-11-04,90.23300170898438,0.007379573116068405
2019-11-05,90.08550262451172,-0.0016346467664720699
2019-11-06,89.78849792480469,-0.003296920048778351
2019-11-07,89.41000366210938,-0.004215398090435696
2019-11-08,89.29399871826172,-0.0012974492684962868
2019-11-11,88.5824966430664,-0.007968083918385438
2019-11-12,88.9000015258789,0.003584284648149527
2019-11-13,87.65550231933594,-0.013998865975055064
2019-11-14,87.7300033569336,0.0008499299602007238
2019-11-15,86.97450256347656,-0.00861165809356279
2019-11-18,87.62650299072266,0.007496454800304697
2019-11-19,87.6395034790039,0.00014836251405148104
2019-11-20,87.27649688720703,-0.004142042998724227
2019-11-21,86.7354965209961,-0.006198694786181735
2019-11-22,87.28600311279297,0.0063469584412145785
2019-11-25,88.69200134277344,0.016107946060534006
2019-11-26,89.84700012207031,0.013022581087476892
2019-11-27,90.92549896240234,0.01200372676735717
2019-11-29,90.04000091552734,-0.009738720787676458
2019-12-02,89.08000183105469,-0.01066191775556835
2019-12-03,88.49800109863281,-0.006533461163659049
2019-12-04,88.03450012207031,-0.005237417464897476
2019-12-05,87.02400207519531,-0.011478432267733929
2019-12-06,87.58000183105469,0.006389039145533015
2019-12-09,87.47550201416016,-0.0011931926776630464
2019-12-10,86.96050262451172,-0.005887355634324631
2019-12-11,87.43599700927734,0.005467935101741261
2019-12-12,88.0165023803711,0.00663920342821922
2019-12-13,88.0469970703125,0.00034646559584494696
2019-12-16,88.46050262451172,0.0046964185941400505
2019-12-17,89.53299713134766,0.012123992912275838
2019-12-18,89.20149993896484,-0.00370251419034362
